id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
152,Mario Kart DS,,NDS,N,Completed,,,,,,,
153,New Super Mario Bros.,,NDS,N,Completed,,,,,,,
154,Nintendogs: Lab & Friends,,NDS,N,Beaten,,,,,,,
155,Pokemon Diamond,,NDS,N,Beaten,400,0,,,,,Not sure where this is...
156,Pokemon Platinum,,NDS,N,Beaten,219,6,,,,,
157,Pokemon Soul Silver,,NDS,N,Beaten,35,27,,5/2/2013,5/13/2013,,
158,Polarium,,NDS,N,Completed,33,28,,,,,
159,Rayman DS,,NDS,N,Beaten,,,,,,,
160,Ridge Racer DS,,NDS,N,Completed,,,,,,,
161,Sonic Chronicles,,NDS,N,Beaten,7,42,,,,,
162,Sonic Rush,,NDS,N,Beaten,5,22,,,7/30/2013,,
163,Super Mario 64DS,,NDS,N,Completed,,,,,,,
164,Tetris DS,,NDS,N,Completed,,,,,,,22422 Tetris Points
165,The Legend of Zelda: Phantom Hourglass,,NDS,N,Completed,,,,,,,
166,The Legend of Zelda: Spirit Tracks,,NDS,N,Beaten,18,17,,,,,
167,Wario Ware: Touched!,,NDS,N,Completed,,,,,,,
168,Sonic and the Black Knight,,Wii,N,Beaten,2,36,,1/27/2013,1/29/2013,,
169,Sonic Colors,,Wii,N,Beaten,2,22,,,4/28/2013,,
170,Mario Kart 64,,VC,N,Completed,20,49,,,,,
171,Gradius,,VC,N,Beaten,1,9,12/25/2006,12/25/2006,12/25/2006,,
172,Gunstar Heroes,,VC,N,Beaten,8,31,12/25/2006,12/25/2006,12/25/2006,,
173,Super Mario Bros.,,VC,N,Completed,7,44,12/25/2006,12/25/2006,,,
174,Wii Sports,,Wii,N,Infinite,111,31,12/25/2006,12/25/2006,,,
175,WarioWare: Smooth Moves,,Wii,N,Completed,7,32,4/1/2007,4/1/2007,4/1/2007,7/1/2007,
176,Super Paper Mario,,Wii,N,Completed,29,57,4/9/2007,4/9/2007,4/30/2007,3/1/2008,
177,Boxed In,,iPod,N,Completed,,,,,,,
178,Trace,,iPod,N,Completed,,,,,,,
179,Pokemon Battle Revolution,,Wii,N,Beaten,13,8,7/1/2007,7/1/2007,7/1/2007,,
180,Super Mario Bros. 2 (The Lost Levels),,VC,N,Beaten,7,12,11/1/2007,11/1/2007,2/15/2013,,
181,Super Mario Bros. 3,,VC,N,Completed,10,4,11/1/2007,11/1/2007,4/7/2012,,
182,Super Mario Galaxy,,Wii,N,Completed,51,55,11/1/2007,11/1/2007,12/1/2007,7/16/2008,
183,Super Monkey Ball: Banana Blitz,,Wii,N,Completed,18,12,11/1/2007,11/1/2007,11/1/2007,5/1/2008,
184,Madden 08,,Wii,N,Beaten,30,0,12/25/2007,12/25/2007,12/25/2007,,
185,Wii Play,,Wii,N,Completed,3,35,12/25/2007,12/25/2007,12/25/2007,12/25/2007,
186,StarTropics,,VC,N,Infinite,7,35,1/1/2008,1/1/2008,,,
187,Super Smash Bros. Brawl,,Wii,N,Beaten,289,11,3/9/2008,3/9/2008,3/9/2008,,
188,Guitar Hero III: Legends of Rock,,Wii,N,Beaten,22,36,3/10/2008,3/10/2008,3/10/2008,,
189,Mario Kart Wii,,Wii,N,Completed,80,38,5/29/2008,5/29/2008,5/29/2008,6/8/2008,
190,Beat Hazard,,Steam,N,Beaten,,,,,,,
191,BIT.TRIP BEAT,,Steam,N,Beaten,,,,,6/7/2013,,
192,Blur,,Steam,N,Beaten,,,,,,,
193,Bomb Sworders,,Steam,N,Wish List,,,,,,,
194,Bullet Candy,,Steam,N,Beaten,,,,,,,
195,Chime,,Steam,N,Beaten,,,,,,,
